production_companies,revenue,cantidad_peliculas
Ariane Mararía Films,41568.53333333333,15
ArieScope Pictures,1559232.0,14
Aries Cinematográfica Argentina,4445342.5,5
Arka Media Works,330000000.0,2
Armada Films,10698682.833333334,12
Armada Films Production,3794671.6666666665,3
Armory Films,7473.5,5
Arnold Kopelson Productions,65960038.5,9
Arnold Stiefel Company,2489461.0,2
Arokaria,3072.0,3
Ars Nova,74139.25,4
Arsénico Producciones,138299.5,12
Art In Motion,30232298.2,5
Art Linson Productions,93831780.69444445,50
Art Pictures Group,3428571.4285714286,10
Art Pictures Studio,96454961.25,23
Artangel Media,21268.0,1
Arte,51190326.42844933,289
Arte / Cofinova 12,215789.47368421053,19
Arte / Cofinova 9,4674.2307692307695,13
Arte France,342866.76153846155,235
Arte France Cinéma,8649109.962147355,643
Artemis Films,97509.27272727272,11
Artemple - Hollywood,61555060.5,6
Artfire Films,5364858.0,11
Articulus Entertainment,76602.5,2
Artificial Eye,850101.4,62
Artina Films,11783813.166666668,36
Artisan Entertainment,205296041.66666666,78
Artist Film,17615.3,17
Artist International,4338231.25,8
Artist International Management,4338231.25,8
Artista Management,9405151.0,7
Artistry Limited,3574109.5,4
Artists Entertainment Complex,33266261.333333336,11
Artists Production Group (APG),16315775.905555556,18
Artists Public Domain,1776935.0,9
Arts Council of England,18874106.466666665,107
Arts Council of Great Britain,572776.0,4
Arts Council of Wales,11588.0,4
Arturo González Producciones Cinematográficas S.A.,1500000.0,5
Artémis Productions,8976720.685714286,130
Arzu Film,698200.0,11
AsDuesDon,52007.0,3
Asahi Shimbun,7770265.222222222,14
Asahi Soft Drinks Company,23434939.75,8
Ascendant Pictures,14812865.933333334,37
Ascension Pictures,16310358.5,11
Ascension Productions,708470.6,5
Ascot Elite Entertainment Group,2725108.5,11
Ashton Productions,12500000.0,7
Ashutosh Gowariker Productions Pvt. Ltd.,6500000.0,2
Ashutosh Gowariker Productions Pvt. Ltd. (AGPPL),8090000.0,2
Asia Union Film & Entertainment Ltd.,26690717.0,8
Asis Productions,16745114.0,4
Asmik Ace Entertainment,4046002.7032967033,74
Aspect Ratio Film,12811982.333333334,3
Aspen Film Society,66549125.5,10
Aspen Productions,2000000.0,4
Aspen Productions (I),27200000.0,4
Assassin Films,11333500.0,8
Assemblage Entertainment,4265624.75,9
Associated Capital,1220585.6666666667,3
Astral Bellevue Pathé,69703764.0,22
Astral Films,381371.3333333333,18
Astral Media,6333383.063492063,81
Asymmetrical Productions,5083777.216666667,27
Atchity Entertainment International (AEI),2812111.8333333335,11
Atkinson/Knickerbocker Productions,9236425.0,2
Atlantic Entertainment Group,26870726.0,13
Atlantic Pictures,468741.3333333333,9
Atlantic Productions,2989505.5,2
Atlantic Releasing Corporation,4806307.333333333,10
Atlantic Swiss Productions,388501.0227272727,36
Atlantic Television,6700503.333333333,6
Atlas 3 Productions,846704.0,1
Atlas Entertainment,984026686.5142857,98
Atlas Film,539896.0,7
Atlas Productions,4627375.0,1
Atman Entertainment,14407679.0,10
Atmo Media Network,1179676.0,13
Atmosphere Entertainment MM,202567401.8809524,45
Atomic Entertainment,900.0,5
Atomic Features,7000.0,5
Atomic Monster,95361517.57142857,10
Atresmedia Cine,7452386.083333333,57
Attercop Productions,66802.0,3
Attitude Pinículas y Films A.I.E.,1231924.9090909092,11
Atípica Films,2320033.416666667,15
Auburn Entertainment,3223045.777777778,9
Audax Films,33638.0,9
Audiovisual Aval SGR,41568.53333333333,15
Audley Films,13.142857142857142,7
August 1st Film Studio,76328.0,3
August Entertainment,3365434.5833333335,23
Augustus Film,305188.63636363635,11
Aunt Max Entertainment,1625000.0,4
Aura Film Partnership,2059299.6666666667,16
Aurora,3666433.25,7
Aurora Productions,2547629.0,8
Aurora Productions LLC,652943.5,2
Australian Film Commission,1258000.0,23
Australian Film Finance Corporation,8443899.0,29
Australian Film Finance Corporation (AFFC),23375835.704761907,143
Authorized Pictures,14100.0,3
Automatik Entertainment,40096753.25833333,78
Autonomous,721241.8571428572,8
Autonomous Films,731427.1666666666,28
Autumn Pictures,129834.33333333333,3
Autumn Productions,1675.0,5
Avala Film,1733333.3333333333,54
Avalanche Productions,26986059.0,22
Avalon Pictures,6419506.333333333,3
Avalon Studios,733708.6666666666,6
Avalon/NFU Studios,80874.33333333333,3
Avenue Entertainment,2036993.0,3
Avenue Pictures Productions,12270760.15,27
Aversano Films,32719987.666666668,3
Avery Pix,191452573.0095238,28
Avex Inc.,1774000.0,4
Avi Arad Productions,176429358.0,4
Avi Chai fund,355063.2,5
Aviacsa,10832734.0,2
Aviator Films,160046.0,2
Avilon Audio,3491.3333333333335,3
Avon Production,8785162.0,2
Avrora Media,0.3333333333333333,3
Awesomeness Films,5012785.5,5
Axon Films,6737131.333333333,3
Ayngaran International,9333333.333333334,7
Azari Media,44444.0,3
Azoff Entertainment,24652080.333333332,6
B Story,10718137.857142856,7
B.D.S. Productions Inc.,10157.0,3
B.H. Finance C.V.,70000000.0,3
B.O.M. Film Productions Co.,808333.3333333334,10
B.R.C. Produzione S.r.l.,8638.5,16
B24,293558203.0,3
B4MH Productions,222015.0,3
BB Films,14104.0,2
BBC,45995389.25,124
BBC Arena,453572.5,12
BBC Earth,18078074.0,15
BBC Earth MD (WWD),18078074.0,7
BBC Films,408577908.9770923,531
BBC Radio 3,572776.0,3
BBC Storyville,591595.6,11
BBC Worldwide,32078074.0,22
BBS Productions,14596500.0,5
BCDF Pictures,6137649.5,9
BD Cine,6608346.5,18
BDE Entertainment,292959.6666666667,9
BE TV,215789.47368421053,61
BE-Films,11229.0,1
BFI,43392.333333333336,11
BH Tilt,1366689.0,15
BHE Films,9725304.5,8
BIM Distribuzione,79706389.30357143,173
BK,21164315.8,10
BKM,1978285.0,9
BN Films,560301.6,20
BNDES,1526536.8461538462,22
BR Group,3142.8571428571427,7
BSF Film,307811.0,1
BSM Studio,11078017.5,8
BV McCann-Erickson,3444.3333333333335,6
Baa-Ram-Ewe,7.5,7
Babbo Inc.,4023467.8,5
Babe Film,2828632.5,38
Babe Films,786823.5317460317,33
Babe Ruthless Productions,2376147.8571428573,7
Babelsberg Film,229918394.69523808,30
Babieka,144059397.66666666,13
Baby Cow Films,1960000.0,15
Baby Cow Productions,18648312.0,28
Babylon,9013576.0,8
Babylon Films Limited,9013576.0,8
Bac Films,30771809.305357143,165
Bachelor Party Productions,12811982.333333334,3
Back Allie Productions,386749.0,1
Back Lot Pictures,5463317.666666667,9
Backup Films,4545664.708333333,164
Backup Media,11362372.75,55
Bad Aaas Cinema,121749.33333333333,3
Bad Cop Bad Cop Film Productions,106428.33333333333,3
Bad Hat Harry Productions,704217697.9978355,93
Bad Lt. Productions,2019469.0,1
Bad Robot,1388578302.195238,53
Bagdasarian Productions,284806103.85,14
Bagman (2009),154811.85714285713,7
Bahr Productions Inc.,1613.4285714285713,11
Bakshi Productions,6500000.0,9
Balaji Motion Pictures,9600000.0,16
Balcor Film Investors,3232274.0,14
Balcázar Producciones Cinematográficas,80681.0,28
Baldwin Entertainment Group,46879076.4,40
Ballpark Productions Partnership,2474603.0,5
Balmoral Associates,8464068.5,2
Baltimore Pictures,286053105.6666667,47
Baltimore Spring Creek Pictures,9167189.166666666,8
Baltimore Spring Creek Productions,133037631.0952381,30
Bam Film,16666.666666666668,15
Banana-Moon Sky Films,45250.0,1
Banca Popolare di Vicenza,597934.6428571428,28
Bandai,2474590.8571428573,12
Bandai Visual,22512655.0,24
Bandai Visual Company,18022147.34166667,149
Bandaï Media Department,980.0,2
Bande a Part Films,9727.923076923076,25
Bandeira Entertainment,204734.0,13
Bandito Brothers,74515989.0,9
Bangkok Dangerous,6069627.142857143,7
Bank Street Films,50060.5,4
Bankable,27689.1,14
Banque Populaire Images 10,6765026.714285715,14
Banque Populaire Images 11,15508.23076923077,36
Banque Populaire Images 9,520345.94444444444,32
Banque Postale Image 4,11655.625,36
Banques Populaire Image 7,2472205.875,8
Banter,21320062.5,4
Barbarian Films,4312599.96969697,19
Barclays Mercantile Industrial Finance,28667225.5,10
Barentsfilm,283523.14285714284,7
Baron Films,292400.75,4
Barry & Enright Productions,13139500.0,4
Barry Mendel Productions,268336846.98214287,28
Barunson Film Division,22099736.0,10
Barwood Films,90633333.33333333,15
Base 12 Productions,843423.0,8
Basic Pictures,1774000.0,4
Batjac Productions,16366666.666666668,36
Battle Mountain Films,2441288.5,2
Battlefield Productions,4280000.0,5
Battleplan Productions,10417792.0,16
Battletruck Films Ltd.,3000000.0,1
Bauer Martinez Studios,3192165.0,21
Baumgarten Management and Productions (BMP),14562092.5,15
Baumgarten Merims Productions,4835186.0,10
Baumgarten-Prophet Entertainment,5333946.5,2
Bavaria Entertainment,411015.0,4
Bavaria Film,35828929.61111111,161
Bavaria Film International,3798751.833333333,14
Bavaria Film Partners,750000.0,10
Bavaria Studios,3359801.3333333335,6
Baweja Movies,5000000.0,4
Bay Films,50005481.5,9
Bayerischer Rundfunk (BR),20098782.828571428,145
Bazelevs Production,197198368.7222222,48
Bazmark Films,231673634.4,15
Be Gentlemen Limited Partnership,75311145.0,3
Be Good Productions,139500.0,4
Beachfront Films,1900827.8,7
Beacon Communications,483410974.0,43
Beacon Pictures,112607171.88333333,61
Beagle Pug Films,186841882.67857143,16
Beambright,45297.666666666664,3
Beatnik Films,6052270.0,8
Bece Canada Productions,3069040.2,5
Becker International,1359918.0,6
Beco Films,4557351.0,7
Bedford Falls Company,163631848.2,27
Bedford Falls Productions,281053130.85714287,24
Bedlam Productions,51797608.625,12
Bee Vine Pictures,1526536.8461538462,13
Beech Hill Films,11000000.0,7
Before the Door Pictures,7609425.464285715,20
Behavioral Problem Productions Ltd.,3501473.6,5
Beijing Dengfeng International Culture,26666666.666666668,3
Beijing EE-Media Co.,49.83333333333333,13
Beijing Enlight Pictures,362852250.0,4
Beijing Film Studio,1394253.2,14
Beijing Forbidden City Film Co.,49.83333333333333,7
Beijing Going Zoom Media,14600739.285714285,7
Beijing Happy Pictures Cultural Communications Co.,7327604.7,13
Beijing New Picture Film Co.,536046.4285714285,7
Beijing New Picture Film Co. Ltd.,213331639.0,10
Beijing Poly-bona Film Publishing Company,2171381.5,13
Beijing Silver Moon Productions,43038.333333333336,3
Beijing Starlit Movie and TV Culture,5612666.0,2
Beijing TV Station,25.916666666666668,12
Beijing Weiyingshidai Culture & Media,75000000.0,2
Bekmambetov Projects Ltd.,8520974.666666666,3
Bel Air Entertainment,129537685.15,21
Belgacom,490713.8376623377,92
Belhaven Limited,4980440.833333333,6
Belladonna Productions,264509.0,18
Bellanova Films,51308.5,2
Bellatrix,302485.3333333333,3
Belle Pictures,15013034.5,4
Belstar Productions,27630279.0,4
Belvision,131710.57142857142,30
Benaroya Pictures,15191928.783333333,54
BenderSpink,382536746.6666667,78
Benderspink,9145960.333333334,3
Bergen Film,1654710.5,5
Bergman Lustig Productions,22000.0,7
Bergman Lustig productions,3919254.0,1
Bergsten Music,13024772.5,4
Berlanti Productions,32097080.0,4
Bernard Gayle Productions,30545662.0,3
Bernd Eichinger Productions,41292537.571428575,7
Bersin Pictures,115845.33333333333,7
Besiktas Kültür Merkezi (BKM),13954476.0,7
Bess Movie,2575968.0,2
Best Boy Productions,11320.666666666666,3
Best Picture Show Company,4135318.5,8
Beta Cinema,9547372.833333334,13
Betsy's Wedding,4935017.5,4
Between The Eyes,1949.4,8
Beverly Detroit,22113545.0625,32
Bewitched,43808723.0,3
Beyond Films,11614608.0,17
Bhansali Films,41000000.0,2
Bi-polar Pictures,346693.0,7
BiBi Film,48125.0,9
Bifrost Pictures,865116.5,19
Big Arty Productions,2044136.0,13
Big Beach Films,55717317.083333336,30
Big Bug Pictures,40404792.333333336,3
Big Fan Productions,232732.0,1
Big Farm,95280.22222222222,9
Big Indie Pictures,27708179.85714286,25
Big Kid Pictures,72740390.08333333,14
Big Lou House Productions,15362118.0,9
Big Picture Media Corporation,4500000.0,2
Big Primate Pictures,137500000.0,4
Big Screen Productions,539609744.0714285,122
Big Stone Pictures,56078405.5,2
Big Talk Productions,103495825.57222222,45
BigBen Films,2750000.0,2
Bigel / Mailer Films,2620657.5,6
Bigelow Productions,6353239.0,2
Bill Graham Films,8604223.25,4
Bill Kenwright Films,680391.9444444445,23
Bill Plympton Studios,203.0,2
