belongs_to_collection,cantidad_peliculas,ganancia_total,promedio_ganancia
Magic Mike Collection,2,289734628.0,144867314.0
Major Korenev Trilogy,3,5166340.0,1722113.3333333333
Major League Collection,3,83995773.0,27998591.0
Mall Cop Collection,2,290890373.0,145445186.5
Mamma Mia! Collection,1,609841637.0,609841637.0
Man of Steel Collection,2,1536105712.0,768052856.0
Mannequin Collection,2,46473622.0,23236811.0
Marley & Me Collection,1,244082376.0,244082376.0
Masti Collection,1,47000000.0,47000000.0
Max (Collection),1,43967255.0,43967255.0
McHale's Navy Collection,1,4529843.0,4529843.0
Mean Girls Collection,1,129042871.0,129042871.0
Mechanic Collection,2,176800442.0,88400221.0
Meet the Parents Collection,3,1157737569.0,385912523.0
Men In Black Collection,3,1655236118.0,551745372.6666666
Mexico Trilogy,3,125631947.0,41877315.666666664
Mimic Collection,1,25480490.0,25480490.0
Mirrors Collection,1,72436439.0,72436439.0
Miss Congeniality Collection,1,212000000.0,212000000.0
Missing in Action Collection,3,39761759.0,13253919.666666666
Mission: Impossible Collection,5,2778977995.0,555795599.0
Mommies Collection,1,11666088.0,11666088.0
Monsters Collection,1,4242978.0,4242978.0
"Monsters, Inc. Collection",2,1306375863.0,653187931.5
Mortal Kombat Collection,2,173572781.0,86786390.5
Mr. Bean Collection,2,480949014.0,240474507.0
Mulan Collection,1,304320254.0,304320254.0
My Big Fat Greek Wedding Collection,2,457667295.0,228833647.5
My Bloody Valentine Collection,1,100734718.0,100734718.0
Naked Gun Collection,3,216819186.0,72273062.0
Nanny McPhee Collection,2,215736210.0,107868105.0
Naruto Collection,1,17322136.0,17322136.0
National Lampoon's Vacation Collection,5,322868721.0,64573744.2
National Lampoon’s Van Wilder Collection,2,44361991.0,22180995.5
National Treasure Collection,2,804815062.0,402407531.0
Navarone Collection,2,36130000.0,18065000.0
Neighbors Collection,2,376915921.0,188457960.5
Never Back Down Collection,1,41627431.0,41627431.0
New Kids Collection,1,8786756.0,8786756.0
Night at the Museum Collection,3,1337011293.0,445670431.0
Night of the Demons Collection,1,3109904.0,3109904.0
Niko - Coleccion,1,17000000.0,17000000.0
Nim's Island Collection,1,100076342.0,100076342.0
"No Retreat, No Surrender Collection",2,4770291.0,2385145.5
Now You See Me Collection,2,452600231.0,226300115.5
Nymphomaniac Collection,1,2227167.0,2227167.0
Ocean's Collection,3,1124774054.0,374924684.6666667
"Oh, God! Collection",1,41687243.0,41687243.0
Omega Code Series,1,2400000.0,2400000.0
Once Upon a Time in China Collection,3,61766696.0,20588898.666666668
Once were Warriors Collection,1,2201126.0,2201126.0
One Piece Collection,2,119207073.0,59603536.5
Ong Bak Collection,3,11277041.0,3759013.6666666665
Open Season Collection,1,197309027.0,197309027.0
Open Water Collection,1,54667954.0,54667954.0
Ouija Collection,2,185296017.0,92648008.5
Pacific Rim Collection,1,407602906.0,407602906.0
Paradise Trilogy,3,37476.0,12492.0
Paranormal Activity Collection,6,883848567.0,147308094.5
Pee-wee's Collection,2,56062662.0,28031331.0
Percy Jackson Collection,2,401075960.0,200537980.0
Pet Sematary Collection,2,74561920.0,37280960.0
Peter Pan Collection,2,197267333.0,98633666.5
Phantasm Collection,2,19271320.0,9635660.0
Philo & Clyde Collection,2,70687429.0,35343714.5
Piranha 3D Collection,2,91681893.0,45840946.5
Pirates of the Caribbean Collection,5,4521576826.0,904315365.2
Pitch Perfect Collection,2,402856620.0,201428310.0
Planes Collection,2,370954499.0,185477249.5
Planet of the Apes (Reboot) Collection,3,1563412714.0,521137571.3333333
Planet of the Apes Original Collection,5,83288644.0,16657728.8
Pocahontas Collection,1,346079773.0,346079773.0
Pokémon Collection,15,891170472.0,59411364.8
Police Academy Collection,7,304643237.0,43520462.428571425
Police Story Collection,3,123544268.0,41181422.666666664
Poltergeist Collection,3,177340665.0,59113555.0
Porky's Collection,3,180006429.0,60002143.0
Power Rangers Collection,2,83979739.0,41989869.5
Predator Collection,3,281604679.0,93868226.33333333
Prom Night Collection,3,32275991.0,10758663.666666666
Prometheus Collection,2,635550385.0,317775192.5
Psycho Collection,3,81206606.0,27068868.666666668
Puella Magi Madoka Magica: The Movie,1,12947880.0,12947880.0
Pulse Collection,1,29907685.0,29907685.0
Pumpkinhead Collection,1,4385516.0,4385516.0
Qatsi Collection,3,2326424.0,775474.6666666666
Quarantine Collection,1,40855419.0,40855419.0
RED Collection,1,71664962.0,71664962.0
Rambo Collection,4,727873237.0,181968309.25
Re-Animator Collection,1,2023414.0,2023414.0
Rebuild of Evangelion,3,101873825.0,33957941.666666664
Recep İvedik Serisi,2,154851495.0,77425747.5
Red Cliff Collection,2,248873834.0,124436917.0
Resident Evil Collection,6,1233421727.0,205570287.83333334
Return of the Living Dead Collection,3,23497131.0,7832377.0
Revenge of the Nerds Collection,1,22642033.0,22642033.0
Ride Along Collection,2,278825135.0,139412567.5
Ringu Collection,2,27377073.0,13688536.5
Rio Collection,2,984824195.0,492412097.5
Road House Collection,1,30050028.0,30050028.0
Road Trip Collection,1,119754278.0,119754278.0
Robert Langdon Collection,3,1344455157.0,448151719.0
RoboCop Collection,4,352066348.0,88016587.0
Rocky Collection,7,1337126094.0,191018013.42857143
Rocky Horror Collection,1,112892319.0,112892319.0
Romancing the Stone Collection,2,183345438.0,91672719.0
Rosemary's Baby Collection,1,33395426.0,33395426.0
Rugrats Collection,2,100491786.0,50245893.0
Rurouni Kenshin Live-Action Collection,1,61700000.0,61700000.0
Rush Hour Collection,3,849734899.0,283244966.3333333
S.W.A.T. Collection,1,116643346.0,116643346.0
Samurai Trilogy,1,7338987.0,7338987.0
Sarkar Collection,1,5900000.0,5900000.0
Saturday Night Fever Collection,2,302005854.0,151002927.0
Save The Last Dance Collection,1,91038276.0,91038276.0
Saw Collection,7,878307806.0,125472543.71428572
Scanners Collection,2,28451752.0,14225876.0
Scary Movie Collection,5,896555030.0,179311006.0
Scooby-Doo Collection,2,457117536.0,228558768.0
Scream Collection,4,604382926.0,151095731.5
Screamers Collection,1,5781885.0,5781885.0
Sex and Zen Collection,1,396003.0,396003.0
Sex and the City Collection,2,703600478.0,351800239.0
Shadow Boxing Collection,2,19434733.0,9717366.5
Shaft Collection,4,130776116.0,32694029.0
Shanghai Noon Collection,2,145255792.0,72627896.0
Shaolin Temple Collection,2,19712261.0,9856130.5
Sherlock Holmes Collection,2,858643679.0,429321839.5
Short Circuit Collection,2,62327849.0,31163924.5
Showgirls Collection,1,20350754.0,20350754.0
Shrek Collection,4,2955807008.0,738951752.0
Silent Hill Collection,2,149910249.0,74955124.5
"Silent Night, Deadly Night Collection",2,168890.0,84445.0
Sin City Collection,2,198141436.0,99070718.0
Singam Collection,1,9700000.0,9700000.0
Singham Collection,1,25034000.0,25034000.0
Single White Female Collection,1,48017402.0,48017402.0
Sinister Collection,2,130594457.0,65297228.5
Sister Act Collection,2,288924179.0,144462089.5
Six Degrees of Celebration Collection,1,22772019.0,22772019.0
Slap Shot Collection,1,28000000.0,28000000.0
Sleuth Collection,1,342835.0,342835.0
Smokey and the Bandit Collection,3,198549004.0,66183001.333333336
Smokin' Aces Collection,1,57103895.0,57103895.0
Sniper Collection,1,18994653.0,18994653.0
Snow Queen Collection,1,12400000.0,12400000.0
Space Chimps Collection,1,63800345.0,63800345.0
Space Dogs,1,6500000.0,6500000.0
Species Collection,2,132539663.0,66269831.5
Speed Collection,2,514956211.0,257478105.5
Spider-Man Collection,3,2496346518.0,832115506.0
Splash Collection,1,69821334.0,69821334.0
SpongeBob Collection,2,451755824.0,225877912.0
Spy Kids Collection,4,550233830.0,137558457.5
Stake Land Collection,1,33245.0,33245.0
Star Trek: Alternate Reality Collection,3,1196517508.0,398839169.3333333
Star Trek: The Next Generation Collection,4,455312826.0,113828206.5
Star Trek: The Original Series Collection,6,622900000.0,103816666.66666667
Star Wars Collection,8,7434494790.0,929311848.75
Stargate SG-1 Collection,1,8900000.0,8900000.0
Starship Troopers Collection,1,121214377.0,121214377.0
State Property Collection,2,3798544.0,1899272.0
Step Up Collection,5,650939748.0,130187949.6
Stir of Echoes Collection,1,21133087.0,21133087.0
Stomp the Yard Collection,1,75511123.0,75511123.0
Street Fighter,2,112187722.0,56093861.0
Street Kings Collection,1,65569869.0,65569869.0
StreetDance Collection,2,18197477.0,9098738.5
Stuart Little Collection,2,470092173.0,235046086.5
Super Size Me Collection,1,28575078.0,28575078.0
Super Troopers Collection,1,18492362.0,18492362.0
Superman Collection,5,976908540.0,195381708.0
Surf's Up Collection,1,149044513.0,149044513.0
Swamp Thing Collection,1,192816.0,192816.0
Swan Princess Series,2,10045302.0,5022651.0
Sällskapsresorna,2,13656519.0,6828259.5
Síť (kolekce),1,110627965.0,110627965.0
TRON Collection,2,433062763.0,216531381.5
Taken Collection,3,928743298.0,309581099.3333333
Tales from the Crypt Collection,1,5600000.0,5600000.0
Tangled Collection,1,591794936.0,591794936.0
Tanu Weds Manu Collection,1,252000.0,252000.0
Tarzan (Animation) Collection,1,448000000.0,448000000.0
Taxi Collection,3,126491626.0,42163875.333333336
Ted Collection,2,766390903.0,383195451.5
Teenage Apocalypse Trilogy,1,27354.0,27354.0
Teenage Mutant Ninja Turtles (Original) Collection,3,322000000.0,107333333.33333333
Teenage Mutant Ninja Turtles (Remake) Collection,2,722823848.0,361411924.0
Tekken Collection,1,967000.0,967000.0
Texas Chainsaw (Reboot) Collection,1,107071655.0,107071655.0
Texas Chainsaw Massacre Collection,5,92078277.0,18415655.4
The ABCs of Death Collection,2,28831.0,14415.5
The Amazing Spider-Man Collection,2,1457933289.0,728966644.5
The Amityville Horror Collection,4,213347083.0,53336770.75
The Angrez Collection,1,300000.0,300000.0
The Apu Collection,3,722579.0,240859.66666666666
The Are We Collection,1,97918663.0,97918663.0
The Arrival Collection,1,14048372.0,14048372.0
The Art of War Collection,1,30199105.0,30199105.0
The Avengers Collection,2,2924961604.0,1462480802.0
The Bad New Bears Collection,2,54427642.0,27213821.0
The Best Man Collection,2,106198975.0,53099487.5
The Black Stallion Collection,2,47599643.0,23799821.5
The Blue Lagoon collection,2,61660960.0,30830480.0
The Blues Brothers Collection,2,129281274.0,64640637.0
The Boogeyman Collection,1,67192859.0,67192859.0
The Boondock Saints Collection,2,10659792.0,5329896.0
The Bourne Collection,5,1637416431.0,327483286.2
