director,return_total
Dan Rush,0.5229546
Dan Scanlon,3.717798035
Dan St. Pierre,0.26660038571428574
Dan Trachtenberg,7.219094733333334
Daniel Alfredson,10.874527
Daniel Barber,1.4150338356164383
Daniel Barnz,2.8763342352941175
Daniel Benmayor,0.05397118181818182
Daniel Calparsoro,1.8087553731343284
Daniel Espinosa,4.24792136673428
Daniel Krige,2.0
Daniel Lee,1.8699338923076922
Daniel Monzón,3.386049649122807
"Daniel Myrick, Eduardo Sánchez",4133.333333333333
Daniel Petrie,1.4299953714285714
Daniel Sackheim,0.7873203
Daniel Schechter,0.022121
Daniel Stamm,37.63503402222222
Daniele Luchetti,1.2926572
Danny Boyle,56.747348090555555
Danny Cannon,2.796818218803419
Danny DeVito,5.549336740079365
Danny Leiner,8.28894282905983
"Danny Pang, Oxide Pang Chun",1.0135179722222223
Danny Steinmann,9.968371818181819
"Dany Boon, Nicolas Guy",4.835626
Dario Argento,0.5845614505494505
Darren Aronofsky,91.33283269303541
Darren Lynn Bousman,68.55421805
Darren Stein,1.0256066666666668
Dave Bullock,1.494608
Dave Filoni,8.033275764705882
Dave Green,5.304051295726496
Dave McKean,0.21674975
Dave Meyers,2.5399945
David Anspaugh,5.074477361111111
David Atkins,0.3375396666666667
David Ayer,21.012994478739493
David Barrett,0.23180845
David Bowers,9.455513259207459
"David Bowers, Sam Fell",0.4326128590604027
David Boyd,2.3841833333333335
David Brooks,0.0010033333333333333
"David Bruckner, Dan Bush, Jacob Gentry",4.9981
David Carson,3.1578947368421053
David Chase,0.0305396
David Cronenberg,15.848261806855644
David Dobkin,12.999629457307693
David E. Talbert,5.141196647058823
David F. Sandberg,30.381394897959183
David Fincher,38.78780574099535
David Frankel,20.65066328952768
David Gelb,19.427493333333334
David Gleeson,0.01685
David Gordon Green,6.562273063512952
David Hackl,10.542364166666667
David Hand,124.24256142239135
"David Hand, James Algar, Samuel Armstrong, William Roberts, Paul Satterfield, Graham Heid, Norman Wright",311.709965034965
David Hogan,0.47352872
David Jacobson,0.6826409999999999
David Kellogg,0.19884366666666667
David Koepp,5.478998686904761
David Lean,27.30042438257576
David Leitch,3.0002648333333335
David Leland,0.14238813157894736
David Lowell Rich,0.929692
David Lowery,158.0532475076923
David Lynch,710.9354317289474
David M. Rosenthal,5.022764416666667
David Mackenzie,3.5306464583333335
David Mamet,1.8049525844155845
David McNally,2.5314772
David Michôd,0.3873814693877551
"David Moreau, Xavier Palud",4.6924805
David Moreton,0.5805006666666667
David Nutter,1.1671578666666667
David O. Russell,25.046973089761906
David Price,7.756651111111111
David R. Ellis,12.630138792828838
David Raynr,0.660141
David Robert Mitchell,7.337038
David S. Goyer,7.6589580352564095
David S. Ward,4.527013454545455
David Salle,0.09737575
David Schwimmer,3.3126315789473684
David Seltzer,2.7688178
David Silverman,7.02758468
David Slade,20.180596287564498
David Soren,5.009547031384015
David Twohy,8.1971940885322
David Von Ancken,0.0664615
David Wain,4.0486438499999995
David Weaver,0.00021008333333333334
David Wnendt,7.981475439221603
David Yates,31.02206403
David Zucker,19.251348080012075
Davis Guggenheim,46.93625338095239
Dax Shepard,1.07200608
"Dax Shepard, David Palmer",7.2
Dean DeBlois,4.200848606896551
"Dean DeBlois, Chris Sanders",1.8221440875
Dean Israelite,4.110725816666667
Dean O'Flaherty,0.037333333333333336
Dean Parisot,4.731680320000001
Dean Wright,0.8019038333333334
Deb Hagan,0.8900394285714286
Debra Granik,6.9157515
Declan Lowney,2.45
Deepa Mehta,0.02952858823529412
Dejan Zečević,1.43
Delbert Mann,8.746355685131196
Delmer Daves,2.8
Demian Lichtenstein,0.3019383064516129
Denis Villeneuve,10.82787878318369
Denise Di Novi,1.4806676666666667
Deniz Gamze Ergüven,0.19230769230769232
Dennie Gordon,1.750717231638418
Dennis Dugan,26.669237192865808
Dennis Gansel,6.513067319444445
Dennis Hopper,7.7693445
Dennis Iliadis,2.1814423333333335
Denys Arcand,0.42904275
Denzel Washington,6.568431521666667
Deran Sarafian,4.54294975
Derek Cianfrance,8.39672427857143
"Derek Lee, Clif Prowse",0.3810660377358491
Dermot Mulroney,1378.0
Derrick Borte,0.7022728
Des McAnuff,0.46230026315789474
Desmond Davis,2.739488533333333
Dewey Nicks,0.45813678571428573
Dexter Fletcher,2.0066265652173914
Diane English,3.125471625
Diane Keaton,0.900947725
Dick Maas,0.010877933333333333
Dick Richards,0.8
"Dinesh D'Souza, Bruce Schooley",2.6
Ding Sheng,2.0441035
Dito Montiel,0.3308495454545455
Dmitri Meskhiyev,0.7547762
Dmitriy Dyachenko,7.916834
Dmitriy Kiselev,1.394895970876764
"Dmitriy Kiselev, Aleksandr Voytinskiy",1.4333333333333333
Dominic Sena,6.851333411111111
Dominik Moll,0.07341227272727273
Dominique Othenin-Girard,2.3284508
Don Bluth,18.355395939217964
Don Coscarelli,42.38918033333333
Don Mancini,2.069137
Don McKellar,0.27008015748031494
"Don Michael Paul, Bibo Bergeron",0.8045550210526315
Don Roos,5.626687828571429
Don Scardino,0.9145960333333333
Don Siegel,15.558723214285713
Don Taylor,4.939562
"Don Taylor, Mike Hodges",3.899758088235294
Donald Petrie,11.858236507958773
